,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_go,field_pos,home_team,away_team,game_date
0,Pass,J. Weinreich pass incomplete to Q. Pounds.,1st Quarter,driveindex_1,Cologne Centurions,3,1,1:21,1st,10,CC24,Cologne,Istanbul,220604
1,Rush,T. King rush for 1 yard to the CC25 (T. Bulusan;J. Milliken).,1st Quarter,driveindex_1,Cologne Centurions,3,1,1:21,2nd,10,CC24,Cologne,Istanbul,220604
2,Pass,J. Weinreich pass incomplete to L. Geyer.,1st Quarter,driveindex_1,Cologne Centurions,3,1,1:21,3rd,9,CC25,Cologne,Istanbul,220604
3,Punt,"J. Appelt punt BLOCKED, recovered by CC TEAM at CC0 (blocked by Z. Blair), Z. Blair safety, clock 13:39.",1st Quarter,driveindex_1,Cologne Centurions,3,1,1:21,4th,9,CC25,Cologne,Istanbul,220604
4,Kickoff,"J. Appelt kickoff 68 yards to the IR2, J. Milliken return 20 yards to the IR22 (J. Wenke).",1st Quarter,driveindex_1,Cologne Centurions,3,1,1:21,1st,0,CC30,Cologne,Istanbul,220604
5,Drive start,ISTANBUL RAMS drive start at 13:31.,1st Quarter,driveindex_2,Istanbul Rams,3,2,1:03,1st,10,IR22,Cologne,Istanbul,220604
6,Pass,J. Stegman pass complete to J. Conwell for 2 yards to the IR24 (M. Scherenberg).,1st Quarter,driveindex_2,Istanbul Rams,3,2,1:03,1st,10,IR22,Cologne,Istanbul,220604
7,Pass,J. Stegman pass incomplete (A. Naus).,1st Quarter,driveindex_2,Istanbul Rams,3,2,1:03,2nd,8,IR24,Cologne,Istanbul,220604
8,Pass,J. Stegman pass incomplete to K. Wedderburn.,1st Quarter,driveindex_2,Istanbul Rams,3,2,1:03,3rd,8,IR24,Cologne,Istanbul,220604
9,Punt,"Y. Guven punt 53 yards to the CC23, downed.",1st Quarter,driveindex_2,Istanbul Rams,3,2,1:03,4th,8,IR24,Cologne,Istanbul,220604
10,Drive start,COLOGNE CENTURIONS drive start at 12:28.,1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,1st,10,CC23,Cologne,Istanbul,220604
11,Rush,"J. Weinreich rush for loss of 5 yards to the CC18, fumble by J. Weinreich recovered by CC J. Weinreich at CC17 (M. Kinoshita).",1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,1st,10,CC23,Cologne,Istanbul,220604
12,Pass,J. Weinreich pass complete to J. Loercks for 14 yards to the CC31 (N. Allsten).,1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,2nd,16,CC17,Cologne,Istanbul,220604
13,Rush,"T. King rush for 7 yards to the CC38, 1ST DOWN CC (A. Isik;T. Bulusan).",1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,3rd,2,CC31,Cologne,Istanbul,220604
14,Rush,"T. King rush for 11 yards to the CC49, 1ST DOWN CC (C. Walrond).",1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,1st,10,CC38,Cologne,Istanbul,220604
15,Rush,T. King rush for loss of 2 yards to the CC47 (Z. Blair).,1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,1st,10,CC49,Cologne,Istanbul,220604
16,Pass,"J. Weinreich pass incomplete to L. Geyer, PENALTY IR Defensive Offside (N. Mundicha) 5 yards to the IR48, NO PLAY.",1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,2nd,12,CC47,Cologne,Istanbul,220604
17,Pass,"J. Weinreich pass intercepted by T. Bulusan at the IR48, T. Bulusan return 49 yards to the CC3 (J. Weinreich).",1st Quarter,driveindex_3,Cologne Centurions,6,29,2:37,2nd,7,IR48,Cologne,Istanbul,220604
18,Drive start,ISTANBUL RAMS drive start at 09:51.,1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,1st,0,CC03,Cologne,Istanbul,220604
19,Rush,T. J.-Fisher rush for loss of 6 yards to the CC9 (J. Voelker;N. Liesen).,1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,1st,0,CC03,Cologne,Istanbul,220604
20,Rush,"J. Conwell rush for loss of 4 yards to the CC13, fumble by J. Conwell recovered by IR J. Conwell at CC13.",1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,2nd,0,CC09,Cologne,Istanbul,220604
21,Timeout,"Timeout Istanbul Rams, clock 08:15.",1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,3rd,0,CC13,Cologne,Istanbul,220604
22,Pass,"J. Stegman pass complete to K. Wedderburn for 13 yards to the CC0, 1ST DOWN IR, TOUCHDOWN, clock 08:09, M. Sarikatipogl kick attempt good.",1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,3rd,0,CC13,Cologne,Istanbul,220604
23,Kickoff,"M. Sarikatipogl kickoff 57 yards to the CC13, P. Lenhardt return 22 yards to the CC35 (U. Ozelce;Y. Ertur).",1st Quarter,driveindex_4,Istanbul Rams,3,3,1:42,1st,0,IR30,Cologne,Istanbul,220604
24,Drive start,COLOGNE CENTURIONS drive start at 08:03.,1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,1st,10,CC35,Cologne,Istanbul,220604
25,Pass,J. Weinreich pass complete to Q. Pounds for 4 yards to the CC39 (J. Milliken).,1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,1st,10,CC35,Cologne,Istanbul,220604
26,Pass,"J. Weinreich pass complete to J. Loercks for 23 yards to the IR38, 1ST DOWN CC (A. Isik;C. Walrond).",1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,2nd,6,CC39,Cologne,Istanbul,220604
27,Rush,"T. King rush for 13 yards to the IR25, 1ST DOWN CC (C. Walrond;B. Zaimoglu).",1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,1st,10,IR38,Cologne,Istanbul,220604
28,Rush,T. King rush for 2 yards to the IR23 (Z. Blair;C. Walrond).,1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,1st,10,IR25,Cologne,Istanbul,220604
29,Rush,T. King rush for no gain to the IR23 (Z. Blair).,1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,2nd,8,IR23,Cologne,Istanbul,220604
30,Rush,"J. Loercks rush for loss of 1 yard to the IR24 (J. Milliken), PENALTY CC Illegal Crackback declined.",1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,3rd,8,IR23,Cologne,Istanbul,220604
31,Field goal attempt,"J. Appelt field goal attempt from 41 BLOCKED, recovered by IR TEAM at IR5 spot at IR5, clock 05:07 (blocked by Z. Blair), A. Isik for no gain to the IR5.",1st Quarter,driveindex_5,Cologne Centurions,7,41,2:56,4th,9,IR24,Cologne,Istanbul,220604
32,Timeout,"Timeout Istanbul Rams, clock 05:07.",1st Quarter,driveindex_6,Istanbul Rams,3,5,0:24,1st,10,IR05,Cologne,Istanbul,220604
33,Pass,J. Stegman pass incomplete to J. Conwell (K. Beverly).,1st Quarter,driveindex_6,Istanbul Rams,3,5,0:24,1st,10,IR05,Cologne,Istanbul,220604
34,Penalty,PENALTY CC Defensive Offside (N. Liesen) 5 yards to the IR10.,1st Quarter,driveindex_6,Istanbul Rams,3,5,0:24,2nd,10,IR05,Cologne,Istanbul,220604
35,Pass,J. Stegman pass incomplete to M. Kinoshita.,1st Quarter,driveindex_6,Istanbul Rams,3,5,0:24,2nd,5,IR10,Cologne,Istanbul,220604
36,Pass,"J. Stegman pass intercepted by M. Scherenberg at the IR28, M. Scherenberg return 28 yards to the IR0, TOUCHDOWN, clock 04:43.",1st Quarter,driveindex_6,Istanbul Rams,3,5,0:24,3rd,5,IR10,Cologne,Istanbul,220604
37,Point after try,J. Appelt kick attempt good.,1st Quarter,driveindex_7,Cologne Centurions,0,0,0:00,1st,10,IR15,Cologne,Istanbul,220604
38,Kickoff,"J. Appelt kickoff 62 yards to the IR8, J. Conwell return 13 yards to the IR21 (S. Vogel;M. Oebels).",1st Quarter,driveindex_7,Cologne Centurions,0,0,0:00,1st,0,CC30,Cologne,Istanbul,220604
39,Drive start,ISTANBUL RAMS drive start at 04:37.,1st Quarter,driveindex_8,Istanbul Rams,1,0,0:08,1st,10,IR21,Cologne,Istanbul,220604
40,Pass,"J. Stegman pass intercepted by F. Simon at the IR32, F. Simon return 32 yards to the IR0, TOUCHDOWN, clock 04:29, J. Appelt kick attempt good.",1st Quarter,driveindex_8,Istanbul Rams,1,0,0:08,1st,10,IR21,Cologne,Istanbul,220604
41,Kickoff,"J. Appelt kickoff 70 yards to the IR0, touchback.",1st Quarter,driveindex_9,Cologne Centurions,0,0,0:00,1st,0,CC30,Cologne,Istanbul,220604
42,Drive start,ISTANBUL RAMS drive start at 04:29.,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,IR30,Cologne,Istanbul,220604
43,Ball spot,IR ball on IR20.,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,IR30,Cologne,Istanbul,220604
44,Rush,"T. J.-Fisher rush for 19 yards to the IR39, 1ST DOWN IR (N. Liesen;I. Eldewieh).",1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,IR20,Cologne,Istanbul,220604
45,Rush,J. Conwell rush for 3 yards to the IR42 (N. Liesen;P. Steffen).,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,IR39,Cologne,Istanbul,220604
46,Rush,T. J.-Fisher rush for 6 yards to the IR48 (F. Aybek).,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,2nd,7,IR42,Cologne,Istanbul,220604
47,Timeout,"Timeout Istanbul Rams, clock 02:15.",1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,3rd,1,IR48,Cologne,Istanbul,220604
48,Rush,T. J.-Fisher rush for loss of 1 yard to the IR47 (P. Steffen;S. Vogel).,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,3rd,1,IR48,Cologne,Istanbul,220604
49,Penalty,PENALTY IR Delay of Game (Y. Guven) 5 yards to the IR42.,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,4th,2,IR47,Cologne,Istanbul,220604
50,Punt,"Y. Guven punt 52 yards to the CC6, downed, PENALTY CC Roughing the Kicker 16 yards to the CC42, 1ST DOWN IR, NO PLAY.",1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,4th,7,IR42,Cologne,Istanbul,220604
51,Penalty,PENALTY IR Delay of Game (J. Stegman) 6 yards to the CC48.,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,CC42,Cologne,Istanbul,220604
52,Pass,J. Stegman pass incomplete to Y. Guven (W. Bhikh).,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,16,CC48,Cologne,Istanbul,220604
53,Rush,"T. J.-Fisher rush for no gain to the CC48, PENALTY CC Facemask 15 yards to the CC33, NO PLAY.",1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,2nd,16,CC48,Cologne,Istanbul,220604
