,season,month,date_full,game_hour,stadium_city,away_team,home_team,home_team_final_score,away_team_final_score,game_week,game_id
0,2021,06,"Saturday, June 19, 2021",18:00,,Cologne Centurions,Panthers Wroclaw,39,55,1,2106ColPan
1,2021,06,"Saturday, June 19, 2021",19:00,,Stuttgart Surge,Barcelona Dragons,21,17,1,2106StuBar
2,2021,06,"Sunday, June 20, 2021",15:00,,Frankfurt Galaxy,Hamburg Sea Devils,15,17,1,2106FraHam
3,2021,06,"Sunday, June 20, 2021",15:00,,Leipzig Kings,Berlin Thunder,37,27,1,2106LeiBer
4,2021,06,"Saturday, June 26, 2021",18:00,,Leipzig Kings,Panthers Wroclaw,28,54,1,2106LeiPan
5,2021,06,"Sunday, June 27, 2021",15:00,,Barcelona Dragons,Cologne Centurions,12,40,1,2106BarCol
6,2021,06,"Sunday, June 27, 2021",15:00,,Frankfurt Galaxy,Stuttgart Surge,42,20,2,2106FraStu
7,2021,07,"Saturday, July 3, 2021",19:00,,Barcelona Dragons,Hamburg Sea Devils,32,14,3,2107BarHam
8,2021,07,"Sunday, July 4, 2021",15:00,,Panthers Wroclaw,Frankfurt Galaxy,13,22,3,2107PanFra
9,2021,07,"Sunday, July 4, 2021",15:00,,Cologne Centurions,Leipzig Kings,48,47,3,2107ColLei
10,2021,07,"Sunday, July 4, 2021",15:00,,Berlin Thunder,Stuttgart Surge,19,40,3,2107BerStu
11,2021,07,"Sunday, July 11, 2021",15:00,Cologne,Frankfurt Galaxy,Cologne Centurions,41,20,4,2107FraCol
12,2021,07,"Sunday, July 11, 2021",15:00,,Leipzig Kings,Stuttgart Surge,24,27,4,2107LeiStu
13,2021,07,"Sunday, July 11, 2021",18:00,,Berlin Thunder,Hamburg Sea Devils,6,44,4,2107BerHam
14,2021,07,"Saturday, July 17, 2021",18:00,,Barcelona Dragons,Frankfurt Galaxy,22,42,5,2107BarFra
15,2021,07,"Sunday, July 18, 2021",15:00,,Panthers Wroclaw,Berlin Thunder,45,26,5,2107PanBer
16,2021,07,"Sunday, July 18, 2021",15:00,,Hamburg Sea Devils,Leipzig Kings,55,0,5,2107HamLei
17,2021,07,"Saturday, July 24, 2021",15:00,,Hamburg Sea Devils,Panthers Wroclaw,26,23,6,2107HamPan
18,2021,07,"Saturday, July 24, 2021",19:00,,Berlin Thunder,Barcelona Dragons,16,48,6,2107BerBar
19,2021,07,"Sunday, July 25, 2021",15:00,,Cologne Centurions,Stuttgart Surge,39,23,6,2107ColStu
20,2021,07,"Saturday, July 31, 2021",18:00,,Barcelona Dragons,Hamburg Sea Devils,17,22,7,2107BarHam
21,2021,08,"Sunday, August 1, 2021",15:00,,Stuttgart Surge,Frankfurt Galaxy,3,57,7,2108StuFra
22,2021,08,"Sunday, August 1, 2021",15:00,,Panthers Wroclaw,Cologne Centurions,31,33,7,2108PanCol
23,2021,08,"Sunday, August 1, 2021",15:00,,Berlin Thunder,Leipzig Kings,24,37,7,2108BerLei
24,2021,08,"Saturday, August 7, 2021",19:00,,Cologne Centurions,Barcelona Dragons,51,60,8,2108ColBar
25,2021,08,"Sunday, August 8, 2021",15:00,,Hamburg Sea Devils,Frankfurt Galaxy,9,35,8,2108HamFra
26,2021,08,"Sunday, August 8, 2021",15:00,,Stuttgart Surge,Leipzig Kings,23,49,8,2108StuLei
27,2021,08,"Saturday, August 14, 2021",13:00,,Hamburg Sea Devils,Berlin Thunder,28,20,9,2108HamBer
28,2021,08,"Sunday, August 15, 2021",15:00,,Frankfurt Galaxy,Panthers Wroclaw,36,7,9,2108FraPan
29,2021,08,"Sunday, August 15, 2021",15:00,,Barcelona Dragons,Stuttgart Surge,30,12,9,2108BarStu
30,2021,08,"Saturday, August 21, 2021",15:00,,Leipzig Kings,Cologne Centurions,42,24,10,2108LeiCol
