,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_1st_down,field_pos,game_date,game_id,season,month,date_full,game_hour,stadium_city,away_team,home_team,away_team_final_score,home_team_final_score,game_week,yardline_100,passer,receiver,intended_receiver,pass_attempt,pass_comp,passing_yds,rusher,rush_yds,yds_gained_per_play,td,pass_td,rush_td,extra_point_attempt,extra_point_result,fg_attempt,fg_attempt_result,fg_attempt_distance,fg_kicker,kickoff_player,kickoff_yds,kickoff_returner,kickoff_ret_yds,punt,punt_td,punt_yds,punter,timeout,def_player_action,int,int_td,int_player,int_ret_yds,sack,sack_yds,fumble,fumble_td,fum_player,fum_force_player,fum_recov_player,fum_recov_team,penalty,penalty_type,penalty_yds,penalty_team,penalty_player
0,Pass,J. Weinreich pass incomplete to Q. Pounds.,1,1,Cologne Centurions,3,1,1:21,1st,10,CC24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,76,J. Weinreich,,Q. Pounds.,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
1,Rush,"T. King rush for 1 yard to the CC25 (T. Bulusan,J. Milliken).",1,1,Cologne Centurions,3,1,1:21,2nd,10,CC24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,76,,,,0,0,,T. King,1,1,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"T. Bulusan,J. Milliken",0,0,,,0,,0,0,,,,,0,,0,,
2,Pass,J. Weinreich pass incomplete to L. Geyer.,1,1,Cologne Centurions,3,1,1:21,3rd,9,CC25,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,75,J. Weinreich,,L. Geyer.,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
3,Punt,"J. Appelt punt BLOCKED, recovered by CC TEAM at CC0 (blocked by Z. Blair), Z. Blair safety, clock 13:39.",1,1,Cologne Centurions,3,1,1:21,4th,9,CC25,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,75,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,1,0,"BLOCKED,",J. Appelt,0,blocked by Z. Blair,0,0,,,0,,0,0,,,,,0,,0,,
4,Kickoff,"J. Appelt kickoff 68 yards to the IR2, J. Milliken return 20 yards to the IR22 (J. Wenke).",1,1,Cologne Centurions,3,1,1:21,1st,0,CC30,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,70,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,J. Appelt,68,J. Milliken,20,0,0,0,,0,J. Wenke,0,0,,,0,,0,0,,,,,0,,0,,
5,Drive start,ISTANBUL RAMS drive start at 13:31.,1,2,Istanbul Rams,3,2,1:03,1st,10,IR22,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,78,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
6,Pass,J. Stegman pass complete to J. Conwell for 2 yards to the IR24 (M. Scherenberg).,1,2,Istanbul Rams,3,2,1:03,1st,10,IR22,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,78,J. Stegman,J. Conwell,J. Conwell,1,1,2,,,2,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,M. Scherenberg,0,0,,,0,,0,0,,,,,0,,0,,
7,Pass,J. Stegman pass incomplete (A. Naus).,1,2,Istanbul Rams,3,2,1:03,2nd,8,IR24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,76,J. Stegman,,Naus).,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,A. Naus,0,0,,,0,,0,0,,,,,0,,0,,
8,Pass,J. Stegman pass incomplete to K. Wedderburn.,1,2,Istanbul Rams,3,2,1:03,3rd,8,IR24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,76,J. Stegman,,K. Wedderburn.,1,0,0,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
9,Punt,"Y. Guven punt 53 yards to the CC23, downed.",1,2,Istanbul Rams,3,2,1:03,4th,8,IR24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,76,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,1,0,53,Y. Guven,0,,0,0,,,0,,0,0,,,,,0,,0,,
